casos,media_original,dp_original,media_normalizado,dp_normalizado,Nv,Nd,FP,prct_FP,FN,prct_FN,media_IRR_s,dp_IRR_s,bpm
111.mat,-0.164228356481481,0.256021397544125,-8.19354622082276e-07,0.143194082492382,139,141,3,2.15827338129496,1,0.719424460431655,0.858193445243805,0.10311415324144,51.4916067146283
112.mat,-0.859275115740738,0.224195126172781,-1.31651622767611e-05,0.1663442328681,173,174,2,1.15606936416185,1,0.578034682080925,0.693636950904393,0.0507655036241913,41.6182170542636
113.mat,-0.137291898148149,0.447540012726653,5.65819315334297e-06,0.131590896455669,117,117,1,0.854700854700855,1,0.854700854700855,1.03497584541063,0.0770818697086113,62.0985507246377
114.mat,-0.157497800925927,0.130085893288459,1.55610340519685e-06,0.0583179000409786,111,111,1,0.900900900900901,1,0.900900900900901,1.0881498470948,0.0849009298876117,65.2889908256881
115.mat,-0.532472685185189,0.358301781489945,1.47170593243548e-06,0.137057227383892,127,127,1,0.78740157480315,1,0.78740157480315,0.954911111111111,0.0664630028265592,57.2946666666667
116.mat,-0.945691782407401,0.608707707789347,1.61430089042284e-06,0.168490924510658,157,158,1,0.636942675159236,0,0,0.764797008547009,0.046601084081687,45.8878205128205
117.mat,-0.817237500000001,0.229420697945907,-1.24707935237424e-06,0.147958239253688,101,101,1,0.99009900990099,1,0.99009900990099,1.20390011223345,0.040834315149933,72.2340067340067
118.mat,-0.937076388888896,0.422577743774953,8.86138337670056e-05,0.176730508522065,148,150,4,2.7027027027027,2,1.35135135135135,0.803415915915916,0.118179859681489,48.204954954955
119.mat,-0.881723379629637,0.519199249072283,-8.59865769641499e-07,0.150742195168908,139,119,2,1.43884892086331,22,15.8273381294964,1.01177587844255,0.333520192192351,60.7065527065527
media,-0.603610545267491,0.355116623311606,9.20251945861607e-06,0.142269578521816,134.666666666667,133.111111111111,1.77777777777778,1.29177104272088,3.33333333333333,2.44547232929625,0.93486179054485,0.102384545599319,56.091707432691
dp,0.359018384445779,0.157215367574285,3.02194684030807e-05,0.0349084367309841,23.0434372436058,24.1217974270391,1.092906420717,0.698176722187425,7.0178344238091,5.03117652047787,0.166765902328515,0.090467343419253,10.0059541397109
